well,cluster,field,layer,well_type,oil_rate,liq_rate,length,purpose,readiness_date
WELL_035,PAD_11,FIELD_A,PK_19,ГС+ГРП,68.4,157.24,1805,production,2026-09-09
WELL_036,PAD_12,FIELD_A,ACH_1,ГС+ГРП,73.2,89.27,1970,production,2026-09-11
WELL_037,PAD_13,FIELD_A,ACH_2,ГС+ГРП,78.0,99.36,2135,production,2026-09-13
WELL_038,PAD_14,FIELD_A,BV_8,ГС+ГРП,82.8,110.4,2300,production,2026-09-15
WELL_039,PAD_15,FIELD_A,YU_1,ГС,25.2,35.24,2465,production,2026-09-17
WELL_040,PAD_16,FIELD_A,BS_10,ГС,30.0,44.12,980,production,2026-09-19
WELL_041,PAD_17,FIELD_A,PK_19,ГС+ГРП,34.8,53.95,1145,production,2026-09-21
WELL_042,PAD_18,FIELD_A,ACH_1,ГС+ГРП,39.6,64.92,1310,production,2026-09-23
WELL_043,PAD_19,FIELD_A,ACH_2,ГС+ГРП,44.4,77.22,1475,production,2026-09-25
WELL_044,PAD_20,FIELD_A,BV_8,ГС+ГРП,49.2,91.11,1640,production,2026-09-27
WELL_045,PAD_21,FIELD_A,YU_1,МЗС+ГРП,54.0,106.93,1805,production,2026-07-01
WELL_046,PAD_22,FIELD_A,BS_10,ГС+ГРП,58.8,125.11,1970,production,2026-07-03
WELL_047,PAD_23,FIELD_A,PK_19,МЗС,63.6,146.21,2135,production,2026-07-05
WELL_048,PAD_24,FIELD_A,ACH_1,ГС+ГРП,70.0,85.37,2300,production,2026-07-07
WELL_049,PAD_01,FIELD_A,ACH_2,ННС+ГРП,74.8,95.29,2465,production,2026-07-09
WELL_050,PAD_02,FIELD_A,BV_8,ГС+ГРП,79.6,106.13,980,production,2026-07-11
WELL_051,PAD_03,FIELD_A,YU_1,ГС,84.4,118.04,1145,production,2026-07-13
WELL_052,PAD_04,FIELD_A,BS_10,ГС+ГРП,26.8,39.41,1310,production,2026-07-15
WELL_053,PAD_05,FIELD_A,PK_19,ГС,31.6,48.99,1475,production,2026-07-17
WELL_054,PAD_06,FIELD_A,ACH_1,ГС+ГРП,36.4,59.67,1640,production,2026-07-19
WELL_055,PAD_07,FIELD_A,ACH_2,ГС,41.2,71.65,1805,production,2026-07-21
WELL_056,PAD_08,FIELD_A,BV_8,ГС+ГРП,46.0,85.19,1970,production,2026-07-23
WELL_057,PAD_09,FIELD_A,YU_1,МЗС,50.8,100.59,2135,production,2026-07-25
WELL_058,PAD_10,FIELD_A,BS_10,ГС+ГРП,55.6,118.3,2300,production,2026-07-27
WELL_059,PAD_11,FIELD_A,PK_19,ГС,60.4,138.85,2465,production,2026-07-29
WELL_060,PAD_12,FIELD_A,ACH_1,ГС,65.2,79.51,980,production,2026-07-31
WELL_061,PAD_13,FIELD_A,ACH_2,ГС+ГРП,70.0,89.17,1145,production,2026-08-02
WELL_062,PAD_14,FIELD_A,BV_8,ГС+ГРП,74.8,99.73,1310,production,2026-08-04
WELL_063,PAD_15,FIELD_A,YU_1,ГС+ГРП,79.6,111.33,1475,production,2026-08-06
WELL_064,PAD_16,FIELD_A,BS_10,ГС+ГРП,86.0,126.47,1640,production,2026-08-08
